 batch,history,calc_int,stddev,batch_time
164,10404500,  1.1998359E+02,  2.1528820E-02,  4.3480573E-02
165,10406900,  1.1998854E+02,  8.3867780E-03,  6.8886300E-02
166,10409300,  1.2000072E+02,  2.8110237E-02,  9.4333924E-02
167,10411800,  1.1999408E+02,  2.2568118E-02,  9.0721990E-03
168,10414800,  1.1998079E+02,  1.2443793E-02,  1.4389166E-02
169,10417200,  1.1999960E+02,  2.2948308E-02,  5.6841120E-02
170,10419600,  1.2003351E+02,  1.7055436E-02,  9.9283508E-02
171,10422000,  1.1998861E+02,  2.2990886E-02,  1.4173925E-01
172,10424400,  1.1998187E+02,  1.0109245E-02,  1.8420206E-01
173,10426800,  1.2003664E+02,  4.5495313E-02,  2.2669037E-01
174,10429200,  1.2001609E+02,  3.6651696E-02,  2.6896484E-01
175,10432100,  1.2001368E+02,  1.3356596E-02,  6.9707690E-03
176,10434600,  1.2000776E+02,  4.1629876E-02,  1.4201926E-02
177,10437300,  1.1998558E+02,  1.2558562E-02,  1.0861612E-02
178,10439700,  1.2003775E+02,  1.3703105E-02,  4.0808333E-02
179,10442100,  1.2000415E+02,  1.9438920E-02,  6.4125512E-02
180,10444500,  1.2000568E+02,  1.7500249E-02,  8.7079323E-02
181,10446900,  1.2000302E+02,  1.7397174E-02,  1.1042705E-01
182,10449300,  1.2002861E+02,  1.2569599E-02,  1.3362598E-01
183,10451700,  1.1998385E+02,  8.0596730E-03,  1.5702219E-01
184,10454200,  1.2001466E+02,  4.0186081E-02,  2.1287524E-02
185,10456700,  1.1997861E+02,  7.8586618E-02,  3.8148059E-02
186,10459100,  1.1999663E+02,  4.1060999E-02,  8.0397163E-02
187,10461500,  1.1999262E+02,  3.3379710E-02,  1.2266496E-01
188,10463900,  1.2000395E+02,  4.5184845E-02,  1.6198765E-01
189,10466400,  1.1998536E+02,  9.3993465E-03,  1.8024145E-02
190,10468800,  1.1998419E+02,  1.1585643E-02,  5.0933288E-02
191,10471600,  1.1999629E+02,  1.6562053E-02,  6.3085300E-04
192,10474300,  1.2001753E+02,  3.0403341E-02,  2.0232888E-02
193,10476700,  1.1998820E+02,  3.6014626E-02,  6.2642837E-02
194,10479200,  1.2000411E+02,  8.7863169E-03,  1.8081601E-02
195,10481600,  1.1999436E+02,  2.4103689E-02,  4.4249377E-02
196,10484000,  1.1997801E+02,  1.8507493E-02,  7.0595852E-02
