 batch,IMC_val,history_count,variance,stdv,rel_err
129,  4.8659211E-01,3446,  7.1498651E-03,  8.4556875E-02,  7.8998085E-04
130,  5.6754469E-01,3480,  7.1057961E-03,  8.4295884E-02,  7.8998085E-04
131,  5.5671031E-01,3514,  7.0569598E-03,  8.4005713E-02,  7.8998085E-04
132,  5.9121712E-01,3549,  7.0314903E-03,  8.3853982E-02,  7.8998085E-04
133,  5.9925775E-01,3584,  7.0137354E-03,  8.3748047E-02,  7.8998085E-04
134,  5.1937172E-01,3619,  6.9624264E-03,  8.3441155E-02,  7.8998085E-04
135,  5.7510564E-01,3655,  6.9250981E-03,  8.3217174E-02,  7.8998085E-04
136,  4.2697179E-01,3691,  6.9537973E-03,  8.3389432E-02,  7.8998085E-04
137,  4.7107509E-01,3727,  6.9287545E-03,  8.3239140E-02,  7.8998085E-04
138,  5.3085629E-01,3764,  6.8785491E-03,  8.2937019E-02,  7.8998085E-04
139,  4.8622916E-01,3801,  6.8428833E-03,  8.2721722E-02,  7.8998085E-04
140,  4.9640822E-01,3839,  6.8019608E-03,  8.2474001E-02,  7.8998085E-04
141,  5.0877944E-01,3877,  6.7567905E-03,  8.2199699E-02,  7.8998085E-04
142,  4.7663356E-01,3915,  6.7287608E-03,  8.2029024E-02,  7.8998085E-04
143,  5.4833035E-01,3954,  6.6842636E-03,  8.1757346E-02,  7.8998085E-04
144,  6.2533452E-01,3993,  6.7014795E-03,  8.1862565E-02,  7.8998085E-04
145,  4.4667095E-01,4032,  6.7027538E-03,  8.1870348E-02,  7.8998085E-04
146,  6.5013961E-01,4072,  6.7560632E-03,  8.2195275E-02,  7.8998085E-04
147,  5.2076321E-01,4112,  6.7107047E-03,  8.1918891E-02,  7.8998085E-04
148,  5.7515281E-01,4153,  6.6789653E-03,  8.1724937E-02,  7.8998085E-04
149,  5.2790460E-01,4194,  6.6341827E-03,  8.1450493E-02,  7.8998085E-04
150,  6.0905064E-01,4235,  6.6309006E-03,  8.1430342E-02,  7.8998085E-04
151,  4.7923555E-01,4277,  6.6045760E-03,  8.1268542E-02,  7.8998085E-04
152,  5.9280755E-01,4319,  6.5864165E-03,  8.1156740E-02,  7.8998085E-04
153,  5.6609026E-01,4362,  6.5513592E-03,  8.0940467E-02,  7.8998085E-04
154,  5.7644711E-01,4405,  6.5220033E-03,  8.0758921E-02,  7.8998085E-04
155,  4.6724362E-01,4449,  6.5064183E-03,  8.0662372E-02,  7.8998085E-04
156,  5.6574538E-01,4493,  6.4723478E-03,  8.0450903E-02,  7.8998085E-04
157,  5.4222593E-01,4537,  6.4318728E-03,  8.0198958E-02,  7.8998085E-04
158,  4.7850342E-01,4582,  6.4087675E-03,  8.0054778E-02,  7.8998085E-04
159,  4.4819468E-01,4627,  6.4113899E-03,  8.0071155E-02,  7.8998085E-04
160,  4.9336873E-01,4673,  6.3799061E-03,  7.9874314E-02,  7.8998085E-04
161,  5.2331204E-01,4719,  6.3405825E-03,  7.9627775E-02,  7.8998085E-04
162,  5.2182020E-01,4766,  6.3018818E-03,  7.9384393E-02,  7.8998085E-04
163,  6.2344555E-01,4813,  6.3162070E-03,  7.9474568E-02,  7.8998085E-04
