 rel_batch,history,calc_int,stddev,batch_time,thread_num
170,61265104,  8.2246365E-01,  5.5847140E-06,  0.0000000E+00,0
171,67391616,  8.2247228E-01,  1.9030110E-06,  0.0000000E+00,0
172,74130776,  8.2246509E-01,  1.0513078E-05,  0.0000000E+00,0
173,81543856,  8.2246503E-01,  1.2141971E-05,  0.0000000E+00,0
174,89698240,  8.2245977E-01,  9.2461482E-06,  0.0000000E+00,0
175,98668064,  8.2246458E-01,  8.4993265E-06,  0.0000000E+00,0
176,108534872,  8.2246291E-01,  5.0126307E-06,  0.0000000E+00,0
177,119388360,  8.2247046E-01,  1.7117838E-06,  0.0000000E+00,0
178,131327200,  8.2246538E-01,  7.2752059E-06,  0.0000000E+00,0
179,144459920,  8.2246714E-01,  1.2858339E-05,  0.0000000E+00,0
180,158905920,  8.2246531E-01,  1.0793404E-05,  0.0000000E+00,0
